,Cidade,Competências,Descrição_da_empresa,Empresa,Estado,Nome_da_vaga,Termo_pesquisado,Latitude,Longitude
0,brasilia,"o cientista de dados ou data scientist e considerado a nova geracao de especialistas em analise de dados, com habilidades tecnicas para resolver problemas complexos e curiosidade para explorar quais problemas necessitam de solucao. conhecimentos especificos: linguagens de programacao de analise de dados (r, python e sql), visualizacao de dados (spotfire ou powerbi ou cognos), data mining (analise exploratoria de dados), infraestrutura de big data (hadoop, mapreduce e spark), algoritmos: regressao logistica e (arvore de decisao ou random forest ou xgbooster ou regressao linear, etc.), notebook: jupyter ou zepellin, hive, hbase, etl: datastage ou sqoop. experiencia em projetos de analytics: machine learning, deep learning, analise de sentimentos e analise de conteudo (nlp, word2vec, bag of words), git (gitlab), hortonworks ou cloudera. habilidades: comunicacao, estatisticas e foco em solucao de problemas. graduacao na area de ti ou em qualquer outra area acompanhada de pos-graduacao na area de ti.",,,DF,vaga de cientista de dados em brasilia - df,cientista de dados,-15.7934036,-47.8823172
1,londrina,"utilizar modelos matematicos e estatisticos, preditivos, correlacao, segmentacao, de machine learning, etc.) para construir solucoes de apoio a decisao para o negocio e clientes analisar e identificar tendencias e comportamentos com o uso de ferramentas estatisticas de bi e analytics acompanhar o desempenho dos modelos em producao, para que estejam sempre cumprindo sua funcao alta interacao com diversas areas da empresa (marketing, inovacao, etc.), para entender oportunidades e propor melhorias desejavel ciencias da computacao, estatistica, engenharias ou areas correlatas.",,,PR,vaga de cientista de dados em londrina - pr,cientista de dados,-23.3112878,-51.1595023
2,rio de janeiro,"interpretacao de tendencias. refino de base de dados. testes de hipoteses de modelos. estruturar e dar manutencao em sistemas de informacao. desenvolver capacidade analitica na empresa. aprimorar os processos de dados por meio de melhoria continua. graduacao ou cursando: engenharia, fisica, matematica, matematica aplicada, estatistica, economia ou areas correlatas. diferencial: gostar de analise. ter pensamento logico apurado e facilidade com matematica e estatistica. conhecer alguma linguagem de programacao (r, python, julia, nosql, spark, hadoop). consulta sql.",,,RJ,vaga de data scientist junior/ cientista de dados junior em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
3,rio de janeiro,"modelar problemas complexos, identificar oportunidades nos dados e gerar insights por meio de tecnicas diversas. refino de base de dados. selecionar a melhor tecnica de data science a ser utilizada em cada analise. testes de hipoteses de modelos. estruturar e dar manutencao em sistemas de informacao. desenvolver capacidade analitica na empresa. aprimorar os processos de dados por meio de melhoria continua. gerenciar seus projetos, garantindo a analise dos riscos. graduacao em engenharia, arquitetura de dados,fisica, matematica, matematica aplicada, estatistica, economia ou areas correlatas. diferencial: gostar de analise. ter pensamento logico apurado e facilidade com matematica e estatistica. conhecer alguma linguagem de programacao (r, python, julia, nosql, spark, hadoop). consulta sql. conhecimento em ia (inteligencia artificial). conhecimento em jurimetria e comportamento de usuario.",,,RJ,vaga de data scientist senior/ cientista de dados senior em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
4,rio de janeiro,"realizar projetos sprint de desenvolvimento e implantacao de solucoes de automatizacao. desenvolvimento e implantacao de solucoes de automatizacao, utilizando scripts em vba, sap script e/ou outras ferramentas de rpa. cada projeto sprint engloba as seguintes etapas: pre- sprint: entendimento do objetivo da demanda e levantamento dos requisitos do sprint, mapeamento dos stakeholders do projeto e dos recursos necessarios para desenvolvimento do sprint. participar e contribuir em workshop e eventos de design thinking para estruturacao do escopo e objetivo do projeto, quando aplicavel. realizacao de entrevistas com pessoas chave para aprofundamento do entendimento e mapeamento de riscos, restricoes e proposicao de alternativas. realizacao do mapeamento do processo e dos procedimentos a serem automatizados e desenho comparativo entre o processo atual e o processo proposto. organizacao das etapas do sprint, delimitacao do escopo e prototipacao/desenho do produto do sprint em conjunto com a equipe mapeada e com o po (product owner), mapeamento de todas as bases de dados necessarias para execucao do sprint, seja por levantamento direto via queries nos bancos de dados existentes ou via articulacao com outras areas de apoio, quando aplicavel. sprint: tratamento e limpeza dos dados levantados, quando aplicavel. desenvolvimento e implantacao da solucao de automatizacao, levantamento de novos dados ou outros recursos que foram identificados como necessarios durante o sprint, envolvimento de pessoas chave e articulacao com areas de apoio- validacao intermediaria com o po (product owner) e outros stakeholders. pos-sprint: preparacao de apresentacao (powerpoint) evidenciando os principais ganhos e impactos trazidos pelo projeto, visao antes x depois etc. realizacao de piloto de aplicacao dos scripts desenvolvidos, apresentacao e validacao do produto final junto ao po (product owner) e outros stakeholders mapeados, realizacao dos ajustes e melhorias solicitadas, documentacao de todos criterios considerados, premissas assumidas e guia de usuario para manutencao e operacionalizacao do produto. a definicao do numero de sprints necessarios para conclusao de uma demanda sera estimado pela tabela, complexidade de demandas x sprints. os projetos sprint terao participacao e contribuicao de profissionais da petrobras com conhecimento do problema/processo abordado. a etapa de sprint deve ser iniciada apos finalizados todos os procedimentos previstos na etapa de pre-sprint, visando garantir todos recursos, infraestrutura e informacoes necessarias para o bom andamento e eficacia do sprint. o prazo estimado de uma semana (5 dias uteis) se refere a etapa de sprint. as etapas de pre-sprint e pos-sprint podem variar de acordo com os projetos. no item estimativa de esforco para realzacao sao apresentadas estimativas de esforco/dedicacao para realizacao de todas as etapas (pre-sprint, sprint e pos- sprint). poderao ocorrer demandas de projetos de sprints concomitantes (mais de um sprint ao mesmo tempo). as solucoes podem envolver configuracao de consumo e escrita (i/o) por api, webservice, barramento de servicos, odata, etc. esta oportunidade e estendida a todas as pessoas com deficiencia.",,,RJ,vaga de cientista de dados (aut) em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
5,rio de janeiro,"desenvolvimento de software, ajudar na construcao de analises e ferramentas de apoio a tomada de decisao, criacao de indicadores e controle de qualidade (kpi), participar da migracao para o ambiente em nuvem.",,,RJ,vaga de cientista de dados em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
6,rio de janeiro,"sprints adicionais / avulsos de analytics, machine learning e simulacoes. realizacao de sprints adicionais de analytics, machine learning e simulacoes, em complemento ao servico 4.1, quando necessario e conforme estimativas apresentadas na tabela de complexidade de demandas x sprints ou realizacao de sprints avulsos para implementacao de melhorias/desenvolvimento de trabalhos de analytics, machine learning e simulacoes sprint: tratamento e limpeza dos dados levantados. desenvolvimento do projeto de analytics, machine learning e/ou simulacao conforme objetivo e produto definido. levantamento de novos dados ou outros recursos que foram identificados como necessarios durante o sprint. envolvimento de pessoas chave e articulacao com areas de apoio. validacao intermediaria com o po (product owner) e outros stakeholders. conhecimento de modelos de banco de dados multidimensionais-. conhecimento de selecao, captura e preparacao de dados estruturados e nao estruturados. conhecimento de mineracao de dados e modelagem estatistica. conhecimento de tecnicas avancadas de apresentacao e visualizacao de dados. experiencia com ferramenta de apresentacao (powerpoint). experiencia com ferramentas de bi (ex.: spotfire, power bi). experiencia com linguagens de data science (python, r, etc.). experiencia com ferramentas de preparacao de dados, mineracao de dados e aprendizagem de maquina (knime, rapid miner, etc.).",,,RJ,vaga de cientista de dados - ml em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
7,rio de janeiro,"modelar problemas complexos, identificar oportunidades nos dados e gerar insights por meio de tecnicas estatisticas, algoritmos e ferramentas de visualizacao. alem disso, profissional devera integrar e qualificar dados de diferentes origens e em grande volume, arquitetando estruturas de dados e ambientes computacionais. graduacao em engenharia, ciencia da computacao, matematica, estatistica ou areas relacionadas. experiencia no uso de ferramentas e pacotes estatisticos. experiencia no uso de banco de dados. conhecimento de uma ou mais industrias e areas de negocio.",,,RJ,vaga de cientista de dados em rio de janeiro - rj,cientista de dados,-22.9110137,-43.2093727
8,porto alegre,"empresa   referencia em data driven marketing, cro e crm, com servicos e tecnologias focados nos melhores resultados contrata programador sql para porto alegre/rs! estamos em busca de pessoas apaixonadas por dados, capazes de extrair insights e informacoes relevantes a partir de gigantescos volumes de dados. voce ira trabalhar com os maiores clientes de varejo da america latina, tendo impacto na vida de milhoes de pessoas. entre suas responsabilidades estao: atuar em colaboracao com analistas de dados na criacao e aplicacao de algoritmos e modelos estatisticos. desenvolver e sustentar workflows de dados que atendam as necessidades de negocio. empregar algoritmos e modelos estatisticos para previsao de receita, analise de churne, identificar grupos de consumidores com afinidade, entre outros. modelar e manipular bancos de dados. skills: solido conhecimento em estatistica. conhecimentos em programacao r, python ou java. experiencia desenvolvimento e aplicacao de algoritmos classificacao, agrupamento e/ou predicao, bancos de dados relacionais: mysql, postgresql, oracle, ms sql server. ingles intermediario. experiencia com pytorch ou tensorflow. diferenciais: formacao em ciencias exatas (estatistica, matematica, engenharias e afins). nocoes de bancos de dados nao-relacionais. experiencia com grandes volumes de dados (big data).",,,RS,vaga de cientista de dados em porto alegre - rs,cientista de dados,-30.0324999,-51.2303767
9,blumenau,"sera sua responsabilidade o levantamento, analise e compilacao de informacoes sobre os dados e projetos da empresa, fornecendo relatorios e modelos de previsao/sugestao, para fundamentar e possibilitar a tomada de decisoes dentro dos projetos. formacao superior: engenharias, matematica, estatistica, computacao, ou areas correlatas (ou experiencia compativel comprovada). habilidade de comunicacao. estatistica. inteligencia artificial. python ou r. etl. scikit-learn. pandas.
aprendizado supervisionado e nao-supervisionado. redes neurais. ingles avancado (leitura fluente). diferencial:
experiencia em visao computacional (classica e/ou deep learning).",,,SC,vaga de cientista de dados em blumenau - sc,cientista de dados,-26.9195567,-49.0658025
